 LIST OF OBSOLETE COORDINATE ENTRIES AND SUCCESSORS
OBSLTE    03-Oct-23 116L     216L
OBSLTE    03-Oct-23 125D     1AW6
OBSLTE    03-Oct-23 14PS     1QJB
OBSLTE    03-Oct-23 151C     351C
OBSLTE    03-Oct-23 156B     256B
OBSLTE    03-Oct-23 179L     
OBSLTE    03-Oct-23 1A0V     1Y46
OBSLTE    03-Oct-23 1A0W     1Y4F
OBSLTE    03-Oct-23 1A0X     1Y4G
OBSLTE    03-Oct-23 1A0Y     1Y4P
OBSLTE    03-Oct-23 1A10     
OBSLTE    03-Oct-23 1A1Y     
OBSLTE    03-Oct-23 1A2K     5BXQ
OBSLTE    03-Oct-23 1A6O     1LR4
OBSLTE    03-Oct-23 1A9D     1BZ9
OBSLTE    03-Oct-23 1A9K     1B0G
OBSLTE    03-Oct-23 1AA8     1VE9
OBSLTE    03-Oct-23 1AAK     2AAK
OBSLTE    03-Oct-23 1ABH     2ABH
OBSLTE    03-Oct-23 1ABK     2ABK
OBSLTE    03-Oct-23 1ABM     1N0J
OBSLTE    03-Oct-23 1ABP     1ABE
OBSLTE    03-Oct-23 1ABX     2ABX
OBSLTE    03-Oct-23 1ACE     2ACE
OBSLTE    03-Oct-23 1ACK     2ACK
OBSLTE    03-Oct-23 1ACT     2ACT
OBSLTE    03-Oct-23 1ADA     2ADA
OBSLTE    03-Oct-23 1ADH     
OBSLTE    03-Oct-23 1ADK     3ADK
OBSLTE    03-Oct-23 1ADM     2ADM
OBSLTE    03-Oct-23 1ADT     2WB0
OBSLTE    03-Oct-23 1AFG     2AFG
OBSLTE    03-Oct-23 1AFN     2AFN
OBSLTE    03-Oct-23 1AK3     2AK3
OBSLTE    03-Oct-23 1ALO     1VLB
OBSLTE    03-Oct-23 1ALP     2ALP
OBSLTE    03-Oct-23 1ALR     2ALR
OBSLTE    03-Oct-23 1AM3     1A8O
OBSLTE    03-Oct-23 1AMG     2AMG
OBSLTE    03-Oct-23 1AMV     2AMV
OBSLTE    03-Oct-23 1ANH     2ANH
OBSLTE    03-Oct-23 1APE     4APE
OBSLTE    03-Oct-23 1APG     3RTJ
OBSLTE    03-Oct-23 1APP     3APP
OBSLTE    03-Oct-23 1APR     2APR
OBSLTE    03-Oct-23 1AR3     1B0J
OBSLTE    03-Oct-23 1ARA     1AM0
OBSLTE    03-Oct-23 1ARN     1DYZ
OBSLTE    03-Oct-23 1AS9     1B0K
OBSLTE    03-Oct-23 1ASI     2ASI
OBSLTE    03-Oct-23 1AT7     1BAX
OBSLTE    03-Oct-23 1ATC     5AT1
OBSLTE    03-Oct-23 1ATQ     1B0M
OBSLTE    03-Oct-23 1AUB     1E0E
OBSLTE    03-Oct-23 1AXF     1Y85
OBSLTE    03-Oct-23 1AYH     2AYH
OBSLTE    03-Oct-23 1AYQ     2AYQ
OBSLTE    03-Oct-23 1AZ9     1WL9
OBSLTE    03-Oct-23 1AZA     2AZA
OBSLTE    03-Oct-23 1B1W     1CMI
